identifiant,adresse,code_postal,parcours,url_image,copyright_image,legende,categorie,nom_poi,date_saisie,mot_cle,ville,texte_intro,texte_description,url_site,fichier_image,geo_shape,geo_point_2d
poi12-20,51 rue de bercy,75012,['balade12-3'],,,,musée-lieu culturel,La Cinémathèque française,2019-08-02,"['douzième', 'architecture', 'culture']",Paris,,"Vous voilà sur la place Leonard Bernstein et le bâtiment biscornu devant vous, c’est la Cinémathèque française, première œuvre conçue par l’immense architecte américano-canadien Frank Gehry à Paris en 1994. Cette « Ballerine » comme il l’appelle, qui « soulève sa jupe pour inviter les gens à entrer » présente une façade plus fantasque côté parc. Cet élégant bâtiment abrite, depuis le réaménagement du bâtiment par Dominique Brard en 2005, la collection commencée en 1936 par Henri Langlois, cinéphile et visionnaire soucieux de la conservation des trésors du cinéma, qu’il est le premier à considérer comme un art. Visitez le Musée et la Galerie des Donateurs, les différentes activités proposées permettent une approche singulière pour les plus jeunes. 

Le saviez-vous : La cantine Les 400 coups propose une carte à découvrir sur place ou à emporter (dans un coin du parc !), des brunchs le week-end et une épicerie fine.",,,"{'type': 'Feature', 'geometry': {'coordinates': [2.3823899998990585, 48.83732999939483], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3823899998990585, 'lat': 48.83732999939483}"
poi12-22,parc de bercy,75012,['balade12-3'],,,,cimetière-parc et jardin,Les vignes de Bercy,2019-08-02,"['douzième', 'nature', 'plein air', 'famille', 'parc']",Paris,,"Derrière la discrète roseraie, pénétrez le vignoble de Bercy qui rappelle l’histoire de ce territoire, déjà planté de vignes à l’époque romaine et devenu le plus grand vignoble d’Europe au XIVème siècle. Le premier entrepôt à vin ouvrit sous Louis XIV et marqua le début d’une activité florissante : le « joyeux Bercy » était devenu une véritable ville dans la ville, bien qu’en dehors des limites de Paris, ce qui attira de nombreux marchands (et buveurs !) de vin profitant de l’absence de taxes. Guinguettes, feux d’artifices et joutes faisaient de ce lieu un incontournable de la fête. Ces vignes en cépage chardonnay et sauvignon blanc plantées par la Ville (cinq au total à Paris) font écho à ce riche passé vinicole, que l’on retrouve aussi dans les pavés, les chais et les rails encore visibles des wagons-citernes.",,,"{'type': 'Feature', 'geometry': {'coordinates': [2.3817699999436135, 48.83582999839451], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3817699999436135, 'lat': 48.83582999839451}"
poi13-24,171 boulevard vincent auriol,75013,['balade13-3'],,,,place-rue,La librairie Nicole Maruani peinte par Cyptik,2019-08-06,"['treizième', 'streetart', 'culture']",Paris,,"Ce cube mystérieux recouvert de signes abrite la librairie gourmande Maruani, un lieu de convivialité autour des livres et des tartes meringuées.. Des rencontres avec des auteurs et des lectures y sont régulièrement organisées, n’hésitez pas à demander le programme. Vous y remarquerez de jolies inscriptions dorées, que l’on doit au street artiste Cryptik un calligraphe qui s'inspire de l'écriture gothique romane et reprend ici un poème de William Saroyan, écrivain arméno-américain. Cryptik a toujours tenu à transmettre des enseignements philosophiques à travers ses peintures. Si vous ne parvenez pas à décoder le message en façade, entrez à l’intérieur pour en demander la transcription.",,,"{'type': 'Feature', 'geometry': {'coordinates': [2.3603800002989446, 48.83208999882607], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3603800002989446, 'lat': 48.83208999882607}"
poi14-16,28 rue decrès,75014,['balade14-1'],https://capgeo.sig.paris.fr/PdfEtImages/Balades14e/photos/poi14-16.jpg,©StudioTTG,Façade des Grandes Bouches,élément d'architecture,Les Grandes Bouches,2019-07-17,"['architecture', 'culture', 'plein air', 'balade', 'quatorzième']",Paris,,"Elles ne s’appellent pas officiellement comme cela, ces tours du quartier Plaisance. Mais c’est ainsi qu’elles ont été surnommées par leurs habitants. En observant leurs balcons, vous comprendrez aisément?! Cette réalisation typique des «?grands ensembles?» des années 1960 a été conçue par l’architecte Jean Balladur entre 1968 et 1970 avec la collaboration de Jean-Bernard Tostivint. De Jean Balladur, on retient surtout son œuvre la plus célèbre?: la station balnéaire de La Grande Motte, dans l’Hérault.",,"{'exif_orientation': 1, 'thumbnail': True, 'filename': 'poi14-16.jpg', 'width': 5845, 'format': 'JPEG', 'etag': '""50f65bcd423ed51:0""', 'mimetype': 'image/jpeg', 'id': '35f66f52e4133522f074e526245f70f9', 'last_synchronized': '2019-09-18T08:04:29.413782', 'color_summary': ['rgba(100, 126, 171, 1.00)', 'rgba(130, 137, 149, 1.00)', 'rgba(113, 113, 117, 1.00)'], 'height': 3897, 'url': 'https://opendata.paris.fr/api/explore/v2.1/catalog/datasets/paris-autrement-balades-dans-les-arrondissements-peripheriques-poi/files/35f66f52e4133522f074e526245f70f9'}","{'type': 'Feature', 'geometry': {'coordinates': [2.3144299993475963, 48.83257000011383], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3144299993475963, 'lat': 48.83257000011383}"
poi14-32,5 b rue victor schoelcher,75014,['balade14-2'],https://capgeo.sig.paris.fr/PdfEtImages/Balades14e/photos/poi14-32.jpg,©StudioTTG,L'institut Giacometti,musée-lieu culturel,Institut Giacometti,2019-07-17,"['architecture', 'culture', 'balade', 'quatorzième']",Paris,,"Vous voilà devant le 5 bis rue Victor Schœlcher, un hôtel particulier cossu et flamboyant. Vous voilà devant l’Institut Giacometti et non devant «?chez?» Alberto Giacometti, car l’artiste aura passé sa vie dans un grand dénuement. C’est dans cette belle maison que la Fondation Giacometti a choisi de reconstituer l’atelier d’Alberto. Des expositions temporaires permettent également de revisiter l’œuvre de Giacometti et sa résonnance avec l’époque ou d’autres œuvres. Attention cependant?: l’Institut ne se visite que sur pré-réservation.",https://www.fondation-giacometti.fr/,"{'exif_orientation': 1, 'thumbnail': True, 'filename': 'poi14-32.jpg', 'width': 5647, 'format': 'JPEG', 'etag': '""43bcd4423ed51:0""', 'mimetype': 'image/jpeg', 'id': '89f3107e19605f5ae25322be816ca316', 'last_synchronized': '2019-09-18T08:04:37.312177', 'color_summary': ['rgba(160, 177, 202, 1.00)', 'rgba(131, 129, 128, 1.00)', 'rgba(137, 142, 145, 1.00)'], 'height': 3764, 'url': 'https://opendata.paris.fr/api/explore/v2.1/catalog/datasets/paris-autrement-balades-dans-les-arrondissements-peripheriques-poi/files/89f3107e19605f5ae25322be816ca316'}","{'type': 'Feature', 'geometry': {'coordinates': [2.330859999703522, 48.83616000018879], 'type': 'Point'}, 'properties': {}}","{'lon': 2.330859999703522, 'lat': 48.83616000018879}"
poi14-40,108 boulevard du montparnasse,75014,['balade14-2'],https://capgeo.maps.arcgis.com/sharing/rest/content/items/7a34d77806a44be592fa49079c2ab97c/data,,,bar-restaurant,Le Dôme,2019-07-17,"['brasserie', 'culture', 'balade', 'quatorzième']",Paris,"Elles se toisent, toutes les quatre. Elles sont disposées tout autour du carrefour Vavin et racontent l’histoire joyeuse et artistique du quartier. Elles, ce sont les 4 grandes brasseries légendaires de Montparnasse?: la Coupole, la Rotonde, le Select, et le Dôme. Vous pouvez bien sûr les admirer depuis le boulevard– vous aimerez sans doute la décoration presque rococo du Dôme… quant au néon «?Le Select?», on vous garantit qu’il est très instagrammable?!",Le Dôme fut le premier café de Montparnasse mais surtout le point de convergence de la «?colonie littéraire anglo-américaine?» de Paris au début du XXème siècle.,https://www.restaurant-ledome.com/,"{'thumbnail': True, 'filename': 'vide.png', 'width': 10, 'format': 'PNG', 'etag': '""161453236ecfa815b9f79464e7172304""', 'mimetype': 'image/png', 'id': '9901387cfa2f790817d74faf721f7fa0', 'last_synchronized': '2019-10-30T08:50:22.338577', 'color_summary': [], 'height': 10, 'url': 'https://opendata.paris.fr/api/explore/v2.1/catalog/datasets/paris-autrement-balades-dans-les-arrondissements-peripheriques-poi/files/9901387cfa2f790817d74faf721f7fa0'}","{'type': 'Feature', 'geometry': {'coordinates': [2.3289630219959205, 48.84211001735217], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3289630219959205, 'lat': 48.84211001735217}"
poi14-7,1 villa seurat,75014,"['balade14-1', 'balade14-5']",https://capgeo.maps.arcgis.com/sharing/rest/content/items/7a34d77806a44be592fa49079c2ab97c/data,,,élément d'architecture,Le 1 Villa Seurat,2019-07-17,"['architecture', 'culture', 'plein air', 'contemporain', 'balade', 'quatorzième']",Paris,"Baptisée en hommage au peintre Georges Seurat, cette voie privée a été lotie au début du XXème siècle pour les artistes fauchés de Montparnasse, les Montparnos (découvrez d’ailleurs notre balade «?Montparnasse et ses artistes?»).
C’est l’architecte André Lurçat qui s’est chargé de bâtir pas moins de 8 villas, d’une splendide homogénéité, dans la villa Seurat. 8 bâtisses conçues sur mesure ou presque pour les artistes en mal d’ateliers. De Chaïm Soutine à Salvador Dali, de Henry Miller à André Derain, nombre de peintres et d’écrivains ont posé leurs valises villa Seurat pour profiter du calme bucolique propice à la création.","Faisant l’angle avec la rue de La Tombe-Issoire, c’est la maison-double de l’écrivain Frank Townshend. Une maison-double au sens littéral?: il s’agit réellement de deux maisons avec chacune sa cuisine, salle de bain, atelier, living-room et chambre. numéro 4?: cette maison en forme de L, propriété du frère André Lurçat, le peintre, céramiste et tapissier Jean Lurçat, fut la première bâtisse construite dans la villa.",http://fondationvillaseurat.org/,"{'thumbnail': True, 'filename': 'vide.png', 'width': 10, 'format': 'PNG', 'etag': '""161453236ecfa815b9f79464e7172304""', 'mimetype': 'image/png', 'id': '9901387cfa2f790817d74faf721f7fa0', 'last_synchronized': '2019-10-30T08:50:22.338577', 'color_summary': [], 'height': 10, 'url': 'https://opendata.paris.fr/api/explore/v2.1/catalog/datasets/paris-autrement-balades-dans-les-arrondissements-peripheriques-poi/files/9901387cfa2f790817d74faf721f7fa0'}","{'type': 'Feature', 'geometry': {'coordinates': [2.3320717097053523, 48.82623182914194], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3320717097053523, 'lat': 48.82623182914194}"
poi14-47,29 rue des plantes,75014,['balade14-3'],https://capgeo.maps.arcgis.com/sharing/rest/content/items/7a34d77806a44be592fa49079c2ab97c/data,,,place-rue,L'impasse du Moulin-vert,2019-07-17,"['artistes', 'village', 'flanerie', 'quatorzième', 'balade']",Paris,,"Avant de découvrir le village de Pernety, faites un tour par la bucolique impasse du Moulin Vert. A vos pieds?: des pavés polis par les années. Sur les côtés?: des glycines qui coulent le long de vieux murs. Derrière?? Des maisons anciennes et des rires d’enfants. Soudainement, vous n’êtes plus à Paris… de la ville à la campagne il n’y a qu’un pas…",,"{'thumbnail': True, 'filename': 'vide.png', 'width': 10, 'format': 'PNG', 'etag': '""161453236ecfa815b9f79464e7172304""', 'mimetype': 'image/png', 'id': '9901387cfa2f790817d74faf721f7fa0', 'last_synchronized': '2019-10-30T08:50:22.338577', 'color_summary': [], 'height': 10, 'url': 'https://opendata.paris.fr/api/explore/v2.1/catalog/datasets/paris-autrement-balades-dans-les-arrondissements-peripheriques-poi/files/9901387cfa2f790817d74faf721f7fa0'}","{'type': 'Feature', 'geometry': {'coordinates': [2.322969999460937, 48.82949999963624], 'type': 'Point'}, 'properties': {}}","{'lon': 2.322969999460937, 'lat': 48.82949999963624}"
poi14-54,44 rue de l'ouest,75014,['balade14-3'],https://capgeo.maps.arcgis.com/sharing/rest/content/items/7a34d77806a44be592fa49079c2ab97c/data,,,place-rue,La Cour cachée du 44 rue de l'ouest,2019-07-17,"['artistes', 'village', 'flanerie', 'quatorzième', 'balade']",Paris,,"Elle se découvre un peu par hasard, cette petite cour bordée d’immeubles colorés. Cachée derrière les immeubles modernes de la rue de Catalogne et de la rue de l’Ouest, on y pénètre par ce qui ressemble une entrée d’immeuble… N’ayez pas peur d’en pousser la porte pour y entrer. Vert amande, rose saumon, terra cotta, framboises écrasées?: à vous le dégradé de couleurs et une pluie de likes pour votre compte Instagram?!",,"{'thumbnail': True, 'filename': 'vide.png', 'width': 10, 'format': 'PNG', 'etag': '""161453236ecfa815b9f79464e7172304""', 'mimetype': 'image/png', 'id': '9901387cfa2f790817d74faf721f7fa0', 'last_synchronized': '2019-10-30T08:50:22.338577', 'color_summary': [], 'height': 10, 'url': 'https://opendata.paris.fr/api/explore/v2.1/catalog/datasets/paris-autrement-balades-dans-les-arrondissements-peripheriques-poi/files/9901387cfa2f790817d74faf721f7fa0'}","{'type': 'Feature', 'geometry': {'coordinates': [2.319549999329622, 48.83627999996879], 'type': 'Point'}, 'properties': {}}","{'lon': 2.319549999329622, 'lat': 48.83627999996879}"
poi14-57,100 rue didot,75014,['balade14-4'],https://capgeo.maps.arcgis.com/sharing/rest/content/items/7a34d77806a44be592fa49079c2ab97c/data,,,musée-lieu culturel,MPAA Broussais,2019-07-17,"['culture', 'artistes', 'balade', 'quatorzième']",Paris,,"Assistez à un spectacle vivant à la MPAA Broussais, installée dans l’ancienne chaufferie de l’hôpital Broussais (jetez un œil à l’impressionnante cheminée?!). Une MPAA, c’est une «?Maison des Pratiques Artistiques Amateurs?» et un riche programme vous y attend?: concert, danse, impro en famille, théâtre… consultez le programme et n’hésitez pas à pousser la porte.",https://www.mpaa.fr/mpaa-broussais,"{'thumbnail': True, 'filename': 'vide.png', 'width': 10, 'format': 'PNG', 'etag': '""161453236ecfa815b9f79464e7172304""', 'mimetype': 'image/png', 'id': '9901387cfa2f790817d74faf721f7fa0', 'last_synchronized': '2019-10-30T08:50:22.338577', 'color_summary': [], 'height': 10, 'url': 'https://opendata.paris.fr/api/explore/v2.1/catalog/datasets/paris-autrement-balades-dans-les-arrondissements-peripheriques-poi/files/9901387cfa2f790817d74faf721f7fa0'}","{'type': 'Feature', 'geometry': {'coordinates': [2.3136500001546225, 48.82696999991037], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3136500001546225, 'lat': 48.82696999991037}"
